P,FMQ,fo2,F,rho_bulk,rho_melt,Exsol_vol%,Gas_wt,mol_mass,mH2O,mH2,mO2,mCO2,mCO,mCH4,mSO2,mH2S,mS2,mN2,wH2O,wH2,wO2,wCO2,wCO,wCH4,wSO2,wH2S,wS2,wN2,fH2O,fH2,fCO2,fCO,fCH4,fSO2,fH2S,fS2,fN2,mCO2/CO,mCO2/H2O,mCO2/SO2,mH2S/SO2,H2O_melt,H2_melt,CO2_melt,CO_melt,CH4_melt,graph_melt,S2-_melt,S6+_melt,Stot_melt,N_melt,tot_H,tot_C,tot_O_gas,tot_O,tot_S,tot_N
1449.86991208,5.0,8.999735419620393e-08,1.147650070189818,2739.289934831254,2739.290064505478,4.7348624661051864e-06,1e-06,0.03981226480470492,0.09121126635739037,2.7733989396047134e-06,4.470068560635696e-11,0.7941825800973037,4.546371309807764e-05,1.9165050833540923e-17,0.0001956779911222744,2.730104998483895e-10,7.99369134254698e-15,0.11436223812442665,0.041273625367547,1.404663022626651e-07,3.592783042103291e-11,0.8779098207611087,3.198620215391444e-05,7.722628428833969e-18,0.0003148747188624573,2.33707831737656e-10,1.2876319101970703e-14,0.0804695522143772,118.70775932838029,0.005015233039478906,1715.6634219665143,0.09935352717509116,4.2850942227788896e-14,0.3035007293558753,4.488329295670439e-07,1.5617769270023154e-11,165.90275566374603,17468.493573853837,8.707066701447625,4058.619855725309,1.3952028957502529e-06,1.0,1.4132322049586191e-08,0.1,2.016785167162249e-06,5.929526563554124e-20,0.0,7.147805272244702e-09,0.009999992852194725,0.009999999999999998,0.001,1118.983627992139,272.6794353081563,9608.123300198728,69085.95497502408,100.00000157605179,10.000804695522147
1449.0,5.000079718175628,8.999734927145633e-08,1.1477013908767004,2680.376362512263,2680.3797843115913,0.00016487485211036417,3.556776819524895e-05,0.03981483007942677,0.09126579669583973,2.7750570824446083e-06,4.472751936751209e-11,0.7943769282654684,4.5474839982139155e-05,1.9169646846897854e-17,0.00019572531374528174,2.730758627643659e-10,7.992760581324916e-15,0.11411329951007061,0.041295639806038294,1.405412277254121e-07,3.594708162466057e-11,0.878068080530722,3.199196914422834e-05,7.723982720204198e-18,0.00031493057560966746,2.3374872355860656e-10,1.2873990296023545e-14,0.08028921630754916,118.70746192089868,0.005015220611657211,1715.0536317783565,0.09931821713518746,4.283550196795915e-14,0.3033919853408065,4.4867102590210625e-07,1.5606581320051723e-11,165.44230210282828,17468.493095906888,8.703993796415073,4058.631523254452,1.3951995147635768e-06,0.9999985724364162,1.4111926162413451e-08,0.09996964589143645,2.0163769744412436e-06,5.927390107232218e-20,0.0,7.145244807085599e-09,0.009999987405699058,0.009999994550943865,0.0009972247613155264,1118.9836279923675,272.67943530815626,9608.12335020222,69085.95497502408,100.00000157602834,10.000804695497314
1439.0,4.999856669377962,8.976147959308721e-08,1.1477012051017372,2680.169660803081,2680.2258167085283,0.002701338618219752,0.0005794840204483092,0.03986383697950238,0.0918691652226532,2.8024745932332516e-06,4.502802285182505e-11,0.7978152114338091,4.573026289219506e-05,1.9356360039996158e-17,0.00019686380930036463,2.757756466245592e-10,8.044743279945405e-15,0.11007022647594021,0.04151754723719572,1.4175528995618696e-07,3.6144104702511383e-11,0.8807844705378011,3.213211104829935e-05,7.789626625788861e-18,0.0003163730504101146,2.357694951533822e-10,1.2941789492270265e-14,0.07734933503632829,118.70275494346919,0.005021606508047975,1705.4312989927002,0.09889066475391634,4.2815929160925544e-14,0.30219783684601303,4.4864995072034775e-07,1.5565450882728332e-11,158.478648188222,17446.110321180222,8.684254499322291,4052.625082635396,1.4008448155333362e-06,0.9999759786184458,1.4467332553597145e-08,0.0994904568137704,2.011288820035745e-06,5.924682850946817e-20,0.0,7.145192497880461e-09,0.009999901248135375,0.009999908393327874,0.0009552577658633952,1118.9836280014692,272.6794353081563,9608.124104927263,69085.95497509603,100.00000157604937,10.000804695092501
1429.0,4.999633457707876,8.952619451929253e-08,1.1477010086087172,2679.9618013346653,2680.072128593583,0.005298346489253908,0.0011300511354620454,0.03990884639850668,0.0924825073020129,2.8299284080327598e-06,4.532402146161323e-11,0.8010098906474169,4.597242492584724e-05,1.9538241478961052e-17,0.00019797317409376333,2.784482968024697e-10,8.096021320077807e-15,0.10626082619936215,0.041747592689378,1.4298252535234331e-07,3.6340672027045556e-11,0.8833140509861134,3.226583416010885e-05,7.853953877703694e-18,0.00031779705441404606,2.3778595088342224e-10,1.300959296272761e-14,0.07458815017926941,118.69793861951088,0.005027996838659653,1695.64400495388,0.09845225889497182,4.279079311598279e-14,0.3010081864716071,4.486284137886956e-07,1.5524419646785297e-11,151.9301105936419,17423.703272982282,8.661204307876531,4046.052675136913,1.4064950874131664e-06,0.9999528595305923,1.4491734773950885e-08,0.099002647590581,2.005986934946207e-06,5.921205776698906e-20,0.0,7.14513941262907e-09,0.009999813257594858,0.00999982040273427,0.0009157920457095055,1118.9836280006245,272.67943530815626,9608.12490311266,69085.95497508935,100.00000157604957,10.000804695116024
1419.0,4.999410087746816,8.92914936358887e-08,1.147700803770675,2679.7519650609547,2679.918999554057,0.008008141279888824,0.0016979996124806848,0.03995149272016133,0.09310377151022516,2.857787482248303e-06,4.562417594383352e-11,0.8040617580004975,4.620695553379425e-05,1.971795795068828e-17,0.00019909786070236587,2.811590360315808e-10,8.148011650649928e-15,0.10258630755876753,0.041983175060848026,1.4423597935547193e-07,3.6542286202357554e-11,0.8857330109436771,3.2395821959963645e-05,7.917735205530494e-18,0.00031926130064290417,2.3984453935240307e-10,1.3079160541415427e-14,0.07193201236049267,118.6929156468834,0.00503438744551952,1685.5043622530993,0.097992064047292,4.275519134118996e-14,0.29982296501883005,4.486059608384867e-07,1.5483481589749104e-11,145.64935423833126,17401.314341353504,8.63618889930996,4038.525352125709,1.4121650279903775e-06,0.9999287480677693,1.4516147693976203e-08,0.09849684316308141,2.000274659895701e-06,5.916280498177734e-20,0.0,7.145084173216466e-09,0.009999721670802226,0.0099997288158864,0.0008779399403949965,1118.9836280010434,272.6794353081563,9608.125735207277,69085.95497509264,100.00000157604957,10.000804695080689
1409.0,4.999186559367823,8.905737555619689e-08,1.1477005905218554,2679.540104466801,2679.766420896197,0.010831882355832866,0.0022830233696284467,0.039991760651172,0.09373312384055255,2.886060429641773e-06,4.5928574484940154e-11,0.8069699604706484,4.6433775337038314e-05,1.9895439408964088e-17,0.00020023819038523974,2.839086479208486e-10,8.200729325074304e-15,0.0990473573328017,0.04222440932249234,1.4551628024306865e-07,3.674905143706478e-11,0.888041533982631,3.2522066280416713e-05,7.980958615508034e-18,0.00032076655721898016,2.4194625100780927e-10,1.3150528085129521e-14,0.06938062227638865,118.68768414985372,0.0050407782289794015,1675.0200378417487,0.09751044287134816,4.270916549012517e-14,0.2986421563336807,4.485825839311378e-07,1.5442636479393358e-11,139.63329559420305,17378.943551612563,8.609229346110006,4030.0502062973746,1.417854642886228e-06,0.999903635171556,1.4540569416547168e-08,0.09797337727959457,1.9941562726653928e-06,5.909912778389871e-20,0.0,7.145026765554348e-09,0.009999626463485881,0.009999633608512647,0.000841682887448275,1118.9836280014185,272.6794353081563,9608.126601467955,69085.95497509556,100.00000157604914,10.000804695046343
1399.0,4.998962872487424,8.88238389056358e-08,1.1477003688190262,2679.3261754892364,2679.6143816834633,0.013770442090538628,0.0028847425255935527,0.04002964725323409,0.0943707354951185,2.91475612294305e-06,4.623730779126728e-11,0.8097344206458335,4.665284927598486e-05,2.0070634228256808e-17,0.0002013944936797743,2.866979394719321e-10,8.254189839991997e-15,0.0956438814270258,0.04247140158381341,1.468240329254344e-07,3.696106426297994e-11,0.8902403451115523,3.2644578785282405e-05,8.043616961445896e-18,0.0003223135213403594,2.4409203532516185e-10,1.322372868014519e-14,0.06693314809940967,118.68224279677875,0.005047169111784064,1664.2002744599345,0.09700785198133001,4.2652800667886417e-14,0.2974657446162885,4.485582775611596e-07,1.5401884111631402e-11,133.87773066573374,17356.59093093494,8.58035508992847,4020.6383295332053,1.423563942755028e-06,0.9998775143924723,1.4564999682809253e-08,0.09743266161290247,1.987637739210784e-06,5.902114392984125e-20,0.0,7.144967181526153e-09,0.009999527621303192,0.009999534766270374,0.0008069955708071877,1118.983628001735,272.6794353081563,9608.127502070225,69085.95497509805,100.00000157604897,10.000804695014061
1389.0,4.99873902706231,8.859088232092061e-08,1.1477001386397616,2679.110137365486,2679.4628689524307,0.01682442682237906,0.003502710572186476,0.04006516130693135,0.09501678304058982,2.9438837023810414e-06,4.655046917919231e-11,0.8123557970549621,4.6864184608385305e-05,2.0243508716410414e-17,0.0002025671107157416,2.8952774181270985e-10,8.308409149986415e-15,0.0923750443893351,0.04272424958087815,1.4815982024897489e-07,3.717841397816717e-11,0.8923306754365995,3.276338980001159e-05,8.105707751807569e-18,0.0003239028234044835,2.4628280290195356e-10,1.3298792801726478e-14,0.06458826032602336,118.67659076036695,0.005053560037547051,1653.0557307250624,0.09648483322331762,4.2586222365964827e-14,0.2962937143922837,4.485330384767383e-07,1.536122430804356e-11,128.377428992182,17334.256508318915,8.549603249648383,4010.30450690944,1.4292929429150934e-06,0.9998503816994088,1.4589438323092631e-08,0.0968751782123437,1.9807265739638342e-06,5.892902706117965e-20,0.0,7.144905418523631e-09,0.009999425139071986,0.009999432283977403,0.0007738464872152825,1118.983628001994,272.6794353081563,9608.128437105237,69085.95497510009,100.00000157604994,10.000804694983769
1379.0,4.998515023085191,8.835850444910492e-08,1.1476998999802892,2678.8919523917857,2679.3118679611184,0.01999420342933819,0.004136422603631989,0.04009832245407331,0.09567144856246423,2.9734525843190425e-06,4.6868154669128127e-11,0.8148354306466304,4.706782809102178e-05,2.041404625150955e-17,0.000203756391539308,2.9239891093087613e-10,8.363403682665573e-15,0.08923932277941522,0.0429830433887218,1.4952420510578887e-07,3.7401183287510584e-11,0.8943142179106314,3.287854680510219e-05,8.167232865288465e-18,0.0003255350328245444,2.4851942888582316e-10,1.3375748543686509e-14,0.06234417531087821,118.67072766777504,0.005059950968785321,1641.5982992715092,0.09594200359982381,4.2509592707580064e-14,0.2951260504793771,4.48506865454979e-07,1.5320656912938675e-11,123.12624439030441,17311.940314536434,8.517017803013838,3999.066848852371,1.4350416628499603e-06,0.9998222352402669,1.4613885248734725e-08,0.09630147084854944,1.973431674723459e-06,5.882300150908088e-20,0.0,7.144841478873297e-09,0.009999319019817786,0.009999326164659265,0.0007421986135348343,1118.983628002208,272.67943530815637,9608.12940658841,69085.95497510176,100.00000157604968,10.000804694955463
1369.0,4.998290860580093,8.812670394652471e-08,1.1476996528530592,2678.6715856071232,2679.1613624591328,0.0232799302420393,0.004785324249830161,0.04012916016515724,0.09633491981966853,3.003472470048384e-06,4.719046308356834e-11,0.8171752803356435,4.7263862506654366e-05,2.0582246103521357e-17,0.00020496269644845343,2.953123284134471e-10,8.419190354197435e-15,0.08623456947075163,0.04324786631930944,1.5091773323140587e-07,3.762944910642811e-11,0.8961930763544197,3.2990112669915926e-05,8.228198191958039e-18,0.00032721066522930505,2.5080275753983855e-10,1.3454621905680388e-14,0.0601987053421926,118.66465354269945,0.005066341884599415,1629.8409106275712,0.09538004427830914,4.2423106182811e-14,0.29396273795060107,4.484797590415678e-07,1.528018179007638e-11,118.11723746521055,17289.642382075563,8.482648678852195,3986.946378514087,1.4408101256011526e-06,0.9997930750641617,1.4638340442384251e-08,0.09571213562194938,1.965763139586911e-06,5.870333639280359e-20,0.0,7.1447753691779815e-09,0.009999209273682834,0.009999216418458202,0.0007120101450106523,1118.9836280023571,272.6794353081563,9608.130410469059,69085.95497510293,100.00000157604877,10.00080469493027
